5s	15s	20d	6s	14n	10s	14n	10s
USGS	01566000	2020-03-06 00:00	EST	275	P	4.19	P
USGS	01566000	2020-03-06 00:15	EST	272	P	4.18	P
USGS	01566000	2020-03-06 00:30	EST	272	P	4.18	P
USGS	01566000	2020-03-06 00:45	EST	272	P	4.18	P
USGS	01566000	2020-03-06 01:00	EST	272	P	4.18	P
USGS	01566000	2020-03-06 01:15	EST	272	P	4.18	P
USGS	01566000	2020-03-06 01:30	EST	272	P	4.18	P
USGS	01566000	2020-03-06 01:45	EST	272	P	4.18	P
USGS	01566000	2020-03-06 02:00	EST	272	P	4.18	P
USGS	01566000	2020-03-06 02:15	EST	272	P	4.18	P
USGS	01566000	2020-03-06 02:30	EST	272	P	4.18	P
USGS	01566000	2020-03-06 02:45	EST	272	P	4.18	P
USGS	01566000	2020-03-06 03:00	EST	268	P	4.17	P
USGS	01566000	2020-03-06 03:15	EST	268	P	4.17	P
USGS	01566000	2020-03-06 03:30	EST	268	P	4.17	P
USGS	01566000	2020-03-06 03:45	EST	268	P	4.17	P
USGS	01566000	2020-03-06 04:00	EST	268	P	4.17	P
USGS	01566000	2020-03-06 04:15	EST	268	P	4.17	P
USGS	01566000	2020-03-06 04:30	EST	268	P	4.17	P
USGS	01566000	2020-03-06 04:45	EST	268	P	4.17	P
USGS	01566000	2020-03-06 05:00	EST	268	P	4.17	P
USGS	01566000	2020-03-06 05:15	EST	268	P	4.17	P
USGS	01566000	2020-03-06 05:30	EST	264	P	4.16	P
USGS	01566000	2020-03-06 05:45	EST	264	P	4.16	P
USGS	01566000	2020-03-06 06:00	EST	268	P	4.17	P
USGS	01566000	2020-03-06 06:15	EST	264	P	4.16	P
USGS	01566000	2020-03-06 06:30	EST	264	P	4.16	P
USGS	01566000	2020-03-06 06:45	EST	264	P	4.16	P
USGS	01566000	2020-03-06 07:00	EST	264	P	4.16	P
USGS	01566000	2020-03-06 07:15	EST	264	P	4.16	P
USGS	01566000	2020-03-06 07:30	EST	264	P	4.16	P
USGS	01566000	2020-03-06 07:45	EST	264	P	4.16	P
USGS	01566000	2020-03-06 08:00	EST	264	P	4.16	P
USGS	01566000	2020-03-06 08:15	EST	264	P	4.16	P
USGS	01566000	2020-03-06 08:30	EST	264	P	4.16	P
USGS	01566000	2020-03-06 08:45	EST	264	P	4.16	P
USGS	01566000	2020-03-06 09:00	EST	264	P	4.16	P
USGS	01566000	2020-03-06 09:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 09:30	EST	264	P	4.16	P
USGS	01566000	2020-03-06 09:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 10:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 10:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 10:30	EST	264	P	4.16	P
USGS	01566000	2020-03-06 10:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 11:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 11:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 11:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 11:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 12:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 12:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 12:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 12:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 13:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 13:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 13:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 13:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 14:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 14:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 14:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 14:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 15:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 15:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 15:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 15:45	EST	257	P	4.14	P
USGS	01566000	2020-03-06 16:00	EST	257	P	4.14	P
USGS	01566000	2020-03-06 16:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 16:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 16:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 17:00	EST	257	P	4.14	P
USGS	01566000	2020-03-06 17:15	EST	261	P	4.15	P
USGS	01566000	2020-03-06 17:30	EST	257	P	4.14	P
USGS	01566000	2020-03-06 17:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 18:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 18:15	EST	257	P	4.14	P
USGS	01566000	2020-03-06 18:30	EST	257	P	4.14	P
USGS	01566000	2020-03-06 18:45	EST	257	P	4.14	P
USGS	01566000	2020-03-06 19:00	EST	257	P	4.14	P
USGS	01566000	2020-03-06 19:15	EST	257	P	4.14	P
USGS	01566000	2020-03-06 19:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 19:45	EST	257	P	4.14	P
USGS	01566000	2020-03-06 20:00	EST	257	P	4.14	P
USGS	01566000	2020-03-06 20:15	EST	257	P	4.14	P
USGS	01566000	2020-03-06 20:30	EST	261	P	4.15	P
USGS	01566000	2020-03-06 20:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 21:00	EST	257	P	4.14	P
USGS	01566000	2020-03-06 21:15	EST	257	P	4.14	P
USGS	01566000	2020-03-06 21:30	EST	257	P	4.14	P
USGS	01566000	2020-03-06 21:45	EST	257	P	4.14	P
USGS	01566000	2020-03-06 22:00	EST	257	P	4.14	P
USGS	01566000	2020-03-06 22:15	EST	257	P	4.14	P
USGS	01566000	2020-03-06 22:30	EST	257	P	4.14	P
USGS	01566000	2020-03-06 22:45	EST	261	P	4.15	P
USGS	01566000	2020-03-06 23:00	EST	261	P	4.15	P
USGS	01566000	2020-03-06 23:15	EST	257	P	4.14	P
USGS	01566000	2020-03-06 23:30	EST	257	P	4.14	P
USGS	01566000	2020-03-06 23:45	EST	261	P	4.15	P
USGS	01566000	2020-03-07 00:00	EST	257	P	4.14	P
USGS	01566000	2020-03-07 00:15	EST	257	P	4.14	P
USGS	01566000	2020-03-07 00:30	EST	257	P	4.14	P
USGS	01566000	2020-03-07 00:45	EST	261	P	4.15	P
USGS	01566000	2020-03-07 01:00	EST	257	P	4.14	P
USGS	01566000	2020-03-07 01:15	EST	257	P	4.14	P
USGS	01566000	2020-03-07 01:30	EST	257	P	4.14	P
USGS	01566000	2020-03-07 01:45	EST	257	P	4.14	P
USGS	01566000	2020-03-07 02:00	EST	257	P	4.14	P
USGS	01566000	2020-03-07 02:15	EST	257	P	4.14	P
USGS	01566000	2020-03-07 02:30	EST	257	P	4.14	P
USGS	01566000	2020-03-07 02:45	EST	257	P	4.14	P
USGS	01566000	2020-03-07 03:00	EST	257	P	4.14	P
USGS	01566000	2020-03-07 03:15	EST	257	P	4.14	P
USGS	01566000	2020-03-07 03:30	EST	257	P	4.14	P
USGS	01566000	2020-03-07 03:45	EST	257	P	4.14	P
USGS	01566000	2020-03-07 04:00	EST	254	P	4.13	P
USGS	01566000	2020-03-07 04:15	EST	257	P	4.14	P
USGS	01566000	2020-03-07 04:30	EST	254	P	4.13	P
USGS	01566000	2020-03-07 04:45	EST	254	P	4.13	P
USGS	01566000	2020-03-07 05:00	EST	254	P	4.13	P
USGS	01566000	2020-03-07 05:15	EST	254	P	4.13	P
USGS	01566000	2020-03-07 05:30	EST	254	P	4.13	P
USGS	01566000	2020-03-07 05:45	EST	254	P	4.13	P
USGS	01566000	2020-03-07 06:00	EST	254	P	4.13	P
USGS	01566000	2020-03-07 06:15	EST	254	P	4.13	P
USGS	01566000	2020-03-07 06:30	EST	254	P	4.13	P
USGS	01566000	2020-03-07 06:45	EST	254	P	4.13	P
USGS	01566000	2020-03-07 07:00	EST	254	P	4.13	P
USGS	01566000	2020-03-07 07:15	EST	254	P	4.13	P
USGS	01566000	2020-03-07 07:30	EST	254	P	4.13	P
USGS	01566000	2020-03-07 07:45	EST	250	P	4.12	P
USGS	01566000	2020-03-07 08:00	EST	250	P	4.12	P
USGS	01566000	2020-03-07 08:15	EST	250	P	4.12	P
USGS	01566000	2020-03-07 08:30	EST	250	P	4.12	P
USGS	01566000	2020-03-07 08:45	EST	250	P	4.12	P
USGS	01566000	2020-03-07 09:00	EST	250	P	4.12	P
USGS	01566000	2020-03-07 09:15	EST	250	P	4.12	P
USGS	01566000	2020-03-07 09:30	EST	250	P	4.12	P
